name,r,g,b
accessories,242,243,247
bag,209,251,169
belt,240,143,196
blazer,193,78,131
blouse,233,225,223
bodysuit,110,152,36
boots,87,137,149
bra,138,42,16
bracelet,160,163,172
cape,200,177,209
cardigan,91,73,103
clogs,141,144,155
coat,253,248,248
dress,239,252,254
earrings,237,192,167
flats,198,223,254
glasses,108,61,80
gloves,248,245,249
hair,156,109,61
hat,183,206,206
heels,73,180,222
hoodie,89,134,25
intimate,253,212,205
jacket,146,142,168
jeans,241,248,240
jumper,136,205,200
leggings,193,75,169
loafers,69,77,75
necklace,77,181,182
panties,132,111,172
pants,156,183,204
pumps,85,154,107
purse,97,72,57
ring,54,129,115
romper,185,224,70
sandals,130,201,140
scarf,189,160,143
shirt,164,148,190
shoes,247,231,231
shorts,249,233,251
skin,174,217,189
skirt,59,111,102
sneakers,108,92,102
socks,169,119,153
stockings,84,169,42
suit,232,212,233
sunglasses,72,97,34
sweater,246,250,254
sweatshirt,166,114,99
swimwear,198,151,155
t-shirt,151,137,75
tie,138,95,134
tights,63,79,67
top,174,184,245
vest,16,81,46
wallet,179,219,230
watch,149,127,67
wedges,93,192,142
